rank,search_term,raw_text,additional_info,page,scraped_at,source,url
1,정희원,"정희원
2만+
arrow_upward
1,000%
5일 전
trending_up
활성
정희원 카톡
정희원 논란
장제원
외 7개","2만+
arrow_upward
1,000%",1,2025-12-23 11:06:02.185463,google_trends_selenium,https://trends.google.co.kr/trending?geo=KR&hours=168
2,대홍수,"대홍수
2만+
arrow_upward
1,000%
3일 전
trending_up
활성
대홍수 해석
김다미
김병우
외 2개","2만+
arrow_upward
1,000%",1,2025-12-23 11:06:02.185463,google_trends_selenium,https://trends.google.co.kr/trending?geo=KR&hours=168
3,신민아,"신민아
2만+
arrow_upward
1,000%
3일 전
trending_up
활성
김우빈
김우빈 신민아
김우빈 신민아 결혼
외 5개","2만+
arrow_upward
1,000%",1,2025-12-23 11:06:02.185463,google_trends_selenium,https://trends.google.co.kr/trending?geo=KR&hours=168
4,손종원,"손종원
10만+
arrow_upward
600%
6일 전
trending_up
활성
안성재
선재스님
아기맹수
외 15개","10만+
arrow_upward
600%",1,2025-12-23 11:06:02.185463,google_trends_selenium,https://trends.google.co.kr/trending?geo=KR&hours=168
5,로또1203회당첨번호,"로또1203회당첨번호
2만+
arrow_upward
1,000%
그저께
trending_up
활성
로또 1203 회
1203 회 로또 당첨 번호
로또1203
외 2개","2만+
arrow_upward
1,000%",1,2025-12-23 11:06:02.185463,google_trends_selenium,https://trends.google.co.kr/trending?geo=KR&hours=168
6,이노스페이스,"이노스페이스
2천+
arrow_upward
1,000%
4시간 전
trending_up
활성","2천+
arrow_upward
1,000%",1,2025-12-23 11:06:02.185463,google_trends_selenium,https://trends.google.co.kr/trending?geo=KR&hours=168
7,나폴리 대 볼로냐,"나폴리 대 볼로냐
5천+
arrow_upward
1,000%
7시간 전
trending_up
활성
수페르코파 이탈리아나","5천+
arrow_upward
1,000%",1,2025-12-23 11:06:02.185463,google_trends_selenium,https://trends.google.co.kr/trending?geo=KR&hours=168
8,송성문,"송성문
5천+
arrow_upward
600%
3일 전
trending_up
활성
김혜성","5천+
arrow_upward
600%",1,2025-12-23 11:06:02.185463,google_trends_selenium,https://trends.google.co.kr/trending?geo=KR&hours=168
9,오디세이,"오디세이
2천+
arrow_upward
1,000%
11시간 전
trending_up
활성","2천+
arrow_upward
1,000%",1,2025-12-23 11:06:02.185463,google_trends_selenium,https://trends.google.co.kr/trending?geo=KR&hours=168
10,불꽃야구,"불꽃야구
5천+
arrow_upward
400%
3일 전
trending_up
활성
jtbc
스튜디오c1","5천+
arrow_upward
400%",1,2025-12-23 11:06:02.185463,google_trends_selenium,https://trends.google.co.kr/trending?geo=KR&hours=168
